POB,Kids,Married,FSES,YNatStat,EdArea,EdAchv,Occ,School,RelBack,SocBG,Region,AgeJoin,Cjoin,PlJoin,risk
62,,0,2,3,1,4,0,4,1,0,3.5,19,71,0,2
110,,1,,1,2,6,0,4,0,0,3.5,20,110,0,2
110,1,1,2,1,1,4,0,4,2,1,3.5,37,110,0,2
110,,1,1,1,2,2,0,4,1,0,3.5,20,110,0,2
110,,,,1,,,,,,0,3.5,18,110,0,2
110,,,,1,,,,,,,3.5,,110,0,2
104,1,1,1,0,1,1,0,4,2,0,4.1,28,48,1,2
140,1,1,1,1,,,1,,,0,3.5,39,1,1,2
140,,1,1,1,,,1,,,,3.5,,,,2
140,1,1,0,3,,,3,4,1,3,3.5,22,1,1,2
140,1,1,1,1,,,1,,,0,3.5,21,1,1,2
98,1,1,0,3,4,4,1,4,1,0,3.3,29,18,1,2
140,0,0,1,2,4,4,1,4,1,0,3.5,26,18,1,2
136,0,0,1,2,4,6,0,4,1,0,4.2,18,18,0,2
136,0,0,1,2,4,4,0,4,1,0,4.2,21,18,0,2
136,0,0,1,2,1,4,0,4,1,0,4.2,17,18,0,2
3,0,0,,1,,,,4,1,0,1.3,25,18,1,2
3,,,1,1,,,,4,1,,1.3,,18,1,2
136,0,0,1,2,1,4,0,4,1,0,4.2,19,18,0,2
136,0,0,1,2,4,4,1,4,1,0,4.2,23,18,0,2
140,,,,1,,,,,,0,3.5,19,140,0,2
3,,,1,1,2,4,3,4,1,,1.3,33,140,1,2
140,,,1,1,,,1,,,,3.5,34,1,1,2
110,1,1,1,1,1,4,1,4,1,3,3.5,18,1,1,2
71,,,0,1,1,4,0,4,0,0,3.5,16,71,0,2
71,,,0,1,,,1,4,1,0,3.5,19,71,0,2
71,,,1,1,1,4,1,4,1,0,3.5,18,71,0,2
71,,,1,1,1,4,1,4,1,0,3.5,27,71,0,2
71,,,1,1,,6,1,4,1,3,3.5,29,71,0,2
71,,,1,1,4,6,1,4,1,0,3.5,35,71,0,2
110,,,1,1,2,4,3,4,0,0,3.5,,1,1,2
110,1,1,1,1,2,6,3,4,1,0,3.5,18,1,1,2
110,1,1,0,1,1,4,0,4,1,0,3.5,17,1,1,2
