pob,kids,married,fses,ynatstat,edarea,edachv,occ,school,relback,socbg,region,agejoin,cjoin,pljoin,risk
140.0,0,0,1,1.0,2.0,6,1,4.0,0.0,0.0,3.5,25.0,48.0,1.0,3.0
74.0,0,1,0,1.0,4.0,6,3,2.0,1.0,0.0,3.5,23.0,48.0,1.0,2.0
145.0,0,1,1,1.0,4.0,6,3,4.0,0.0,0.0,3.5,20.0,48.0,1.0,2.0
86.0,0,0,1,1.0,4.0,6,1,4.0,1.0,0.0,1.3,21.0,48.0,1.0,2.0
110.0,0,0,0,1.0,2.0,6,1,4.0,0.0,0.0,3.5,27.0,138.0,1.0,2.0
110.0,0,0,0,1.0,,,,4.0,1.0,0.0,3.5,18.0,110.0,0.0,2.0
110.0,,1,1,1.0,,,,4.0,1.0,0.0,3.5,21.0,,,2.0
110.0,,,0,1.0,,,,4.0,1.0,,3.5,20.0,110.0,0.0,2.0
110.0,0,0,0,1.0,4.0,6,1,4.0,1.0,0.0,3.5,21.0,110.0,0.0,2.0
110.0,0,0,0,1.0,2.0,4,1,4.0,0.0,0.0,3.5,25.0,110.0,0.0,2.0
110.0,0,0,0,1.0,2.0,6,1,4.0,0.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,,,1,1.0,1.0,4,0,4.0,1.0,0.0,3.5,19.0,110.0,0.0,2.0
110.0,,,1,1.0,4.0,6,1,4.0,1.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,,,1,1.0,1.0,4,0,4.0,0.0,0.0,3.5,19.0,110.0,0.0,2.0
110.0,1,1,,1.0,2.0,4,3,,,0.0,3.5,22.0,110.0,0.0,2.0
145.0,,,,1.0,4.0,6,1,4.0,1.0,0.0,3.5,24.0,110.0,1.0,2.0
110.0,,,1,1.0,,6,1,4.0,1.0,0.0,3.5,23.0,110.0,0.0,2.0
110.0,,,,1.0,,6,1,4.0,1.0,0.0,3.5,23.0,110.0,0.0,2.0
110.0,,,,1.0,,4,,4.0,1.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,,,1,1.0,2.0,4,3,4.0,1.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,1,1,1,1.0,,,,4.0,1.0,0.0,3.5,22.0,86.0,1.0,2.0
137.0,1,2,2,2.0,0.0,0,0,4.0,2.0,1.0,2.5,31.0,98.0,1.0,2.0
110.0,1,1,1,3.0,4.0,6,3,4.0,1.0,0.0,3.5,26.0,138.0,1.0,2.0
132.0,0,0,1,1.0,1.0,0,0,4.0,1.0,0.0,1.3,19.0,24.0,1.0,2.0
137.0,1,1,1,3.0,,,,,0.0,0.0,2.5,21.0,140.0,1.0,2.0
68.0,0,0,2,2.0,1.0,4,0,4.0,1.0,1.0,3.5,23.0,48.0,1.0,2.0
16.0,1,1,0,2.0,4.0,4,1,4.0,1.0,0.0,4.3,25.0,18.0,1.0,2.0
98.0,0,0,2,3.0,2.0,6,0,4.0,0.0,0.0,3.3,22.0,98.0,0.0,2.0
24.0,0,0,1,3.0,1.0,4,0,2.0,1.0,0.0,2.5,19.0,1.0,1.0,2.0
11.0,0,0,1,3.0,1.0,4,0,2.0,1.0,0.0,3.5,18.0,1.0,1.0,2.0
24.0,0,0,1,3.0,1.0,4,0,2.0,0.0,0.0,2.5,15.0,1.0,1.0,2.0
71.0,0,1,0,3.0,1.0,4,0,3.0,1.0,0.0,3.5,17.0,24.0,1.0,2.0
62.0,,0,2,3.0,1.0,4,0,4.0,1.0,0.0,3.5,19.0,71.0,0.0,2.0
110.0,,1,,1.0,2.0,6,0,4.0,0.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,1,1,2,1.0,1.0,4,0,4.0,2.0,1.0,3.5,37.0,110.0,0.0,2.0
110.0,,1,1,1.0,2.0,2,0,4.0,1.0,0.0,3.5,20.0,110.0,0.0,2.0
110.0,,,,1.0,,,,,,0.0,3.5,18.0,110.0,0.0,2.0
104.0,1,1,1,0.0,1.0,1,0,4.0,2.0,0.0,4.1,28.0,48.0,1.0,2.0
140.0,1,1,1,1.0,,,1,,,0.0,3.5,39.0,1.0,1.0,2.0
140.0,,1,1,1.0,,,1,,,,3.5,,,,2.0
140.0,1,1,0,3.0,,,3,4.0,1.0,3.0,3.5,22.0,1.0,1.0,2.0
140.0,1,1,1,1.0,,,1,,,0.0,3.5,21.0,1.0,1.0,2.0
98.0,1,1,0,3.0,4.0,4,1,4.0,1.0,0.0,3.3,29.0,18.0,1.0,2.0
140.0,0,0,1,2.0,4.0,4,1,4.0,1.0,0.0,3.5,26.0,18.0,1.0,2.0
136.0,0,0,1,2.0,4.0,6,0,4.0,1.0,0.0,4.2,18.0,18.0,0.0,2.0
136.0,0,0,1,2.0,4.0,4,0,4.0,1.0,0.0,4.2,21.0,18.0,0.0,2.0
136.0,0,0,1,2.0,1.0,4,0,4.0,1.0,0.0,4.2,17.0,18.0,0.0,2.0
3.0,0,0,,1.0,,,,4.0,1.0,0.0,1.3,25.0,18.0,1.0,2.0
3.0,,,1,1.0,,,,4.0,1.0,,1.3,,18.0,1.0,2.0
136.0,0,0,1,2.0,1.0,4,0,4.0,1.0,0.0,4.2,19.0,18.0,0.0,2.0
136.0,0,0,1,2.0,4.0,4,1,4.0,1.0,0.0,4.2,23.0,18.0,0.0,2.0
140.0,,,,1.0,,,,,,0.0,3.5,19.0,140.0,0.0,2.0
3.0,,,1,1.0,2.0,4,3,4.0,1.0,,1.3,33.0,140.0,1.0,2.0
140.0,,,1,1.0,,,1,,,,3.5,34.0,1.0,1.0,2.0
110.0,1,1,1,1.0,1.0,4,1,4.0,1.0,3.0,3.5,18.0,1.0,1.0,2.0
71.0,,,0,1.0,1.0,4,0,4.0,0.0,0.0,3.5,16.0,71.0,0.0,2.0
71.0,,,0,1.0,,,1,4.0,1.0,0.0,3.5,19.0,71.0,0.0,2.0
71.0,,,1,1.0,1.0,4,1,4.0,1.0,0.0,3.5,18.0,71.0,0.0,2.0
71.0,,,1,1.0,1.0,4,1,4.0,1.0,0.0,3.5,27.0,71.0,0.0,2.0
71.0,,,1,1.0,,6,1,4.0,1.0,3.0,3.5,29.0,71.0,0.0,2.0
71.0,,,1,1.0,4.0,6,1,4.0,1.0,0.0,3.5,35.0,71.0,0.0,2.0
110.0,,,1,1.0,2.0,4,3,4.0,0.0,0.0,3.5,,1.0,1.0,2.0
110.0,1,1,1,1.0,2.0,6,3,4.0,1.0,0.0,3.5,18.0,1.0,1.0,2.0
110.0,1,1,0,1.0,1.0,4,0,4.0,1.0,0.0,3.5,17.0,1.0,1.0,2.0
110.0,,,0,1.0,6.0,4,3,4.0,0.0,3.0,3.5,,110.0,0.0,2.0
86.0,1,1,2,1.0,0.0,1,,2.0,1.0,0.0,1.3,,,,2.0
110.0,1,1,1,1.0,2.0,2,3,4.0,0.0,0.0,3.5,19.0,110.0,0.0,1.0
110.0,1,1,2,1.0,1.0,0,0,4.0,0.0,1.0,3.5,20.0,110.0,0.0,2.0
110.0,,,2,1.0,1.0,2,0,4.0,0.0,1.0,3.5,16.0,110.0,0.0,2.0
110.0,,,2,1.0,1.0,1,0,4.0,1.0,,3.5,30.0,110.0,0.0,2.0
110.0,0,1,2,1.0,1.0,4,0,4.0,1.0,0.0,3.5,27.0,110.0,0.0,2.0
133.0,1,1,1,2.0,2.0,6,0,4.0,1.0,3.0,3.5,18.0,133.0,0.0,2.0
133.0,1,1,1,2.0,1.0,4,0,4.0,1.0,3.0,3.5,20.0,133.0,0.0,2.0
133.0,0,0,0,2.0,1.0,4,0,4.0,1.0,0.0,3.5,18.0,133.0,0.0,2.0
133.0,1,1,1,2.0,1.0,6,0,4.0,1.0,3.0,3.5,21.0,98.0,1.0,2.0
133.0,,,1,1.0,2.0,6,0,4.0,1.0,,3.5,22.0,98.0,1.0,2.0
133.0,1,1,1,1.0,1.0,4,0,4.0,1.0,0.0,3.5,39.0,133.0,0.0,2.0
133.0,,,1,1.0,,,,4.0,1.0,,3.5,,133.0,0.0,2.0
133.0,,,1,1.0,,,,4.0,1.0,,3.5,,133.0,0.0,2.0
133.0,1,1,1,1.0,2.0,4,3,4.0,1.0,,3.5,,133.0,0.0,2.0
133.0,,,1,1.0,3.0,6,,4.0,0.0,3.0,3.5,18.0,98.0,1.0,2.0
133.0,0,1,1,1.0,2.0,4,0,4.0,1.0,0.0,3.5,20.0,133.0,0.0,2.0
86.0,,,1,1.0,,,,4.0,1.0,0.0,1.3,26.0,48.0,1.0,2.0
133.0,,,1,1.0,2.0,4,,4.0,1.0,0.0,3.5,,,,2.0
60.0,1,1,1,1.0,2.0,6,3,2.0,0.0,3.0,3.4,61.0,60.0,1.0,3.0
60.0,2,1,1,1.0,2.0,6,3,2.0,0.0,3.0,3.4,52.0,81.0,1.0,3.0
60.0,,1,1,1.0,2.0,6,1,4.0,1.0,0.0,3.4,25.0,60.0,1.0,3.0
103.0,0,1,1,2.0,2.0,4,3,2.0,1.0,0.0,3.4,26.0,1.0,1.0,2.0
60.0,1,1,1,1.0,2.0,2,3,1.0,0.0,0.0,3.4,29.0,81.0,1.0,3.0
60.0,1,1,1,1.0,2.0,4,3,2.0,0.0,0.0,3.4,30.0,81.0,1.0,3.0
71.0,1,1,1,1.0,,,,,,0.0,3.5,20.0,1.0,1.0,2.0
60.0,1,1,1,1.0,,,,2.0,0.0,0.0,3.4,24.0,81.0,1.0,2.0
60.0,1,1,1,1.0,2.0,6,1,2.0,0.0,0.0,3.4,18.0,81.0,1.0,2.0
60.0,1,1,1,1.0,6.0,4,3,4.0,1.0,0.0,3.4,21.0,60.0,0.0,2.0
60.0,1,1,1,1.0,1.0,4,0,2.0,0.0,2.0,3.4,31.0,81.0,1.0,2.0
60.0,1,2,1,1.0,1.0,4,0,4.0,1.0,0.0,3.4,30.0,81.0,1.0,2.0
60.0,1,1,1,1.0,0.0,2,3,2.0,1.0,0.0,3.4,18.0,98.0,1.0,2.0
81.0,1,1,1,1.0,6.0,4,3,4.0,2.0,0.0,3.4,33.0,81.0,0.0,2.0
60.0,1,1,1,1.0,2.0,2,3,4.0,0.0,0.0,3.4,26.0,60.0,0.0,2.0
60.0,1,1,1,1.0,1.0,4,3,2.0,0.0,0.0,3.4,20.0,81.0,1.0,2.0
103.0,,,1,1.0,,,,,,,3.4,19.0,1.0,1.0,2.0
114.0,,,1,1.0,1.0,4,0,4.0,1.0,0.0,3.4,29.0,114.0,0.0,2.0
81.0,,,0,2.0,4.0,4,3,4.0,1.0,0.0,3.4,29.0,114.0,1.0,2.0
114.0,,,1,3.0,4.0,4,3,4.0,1.0,0.0,3.4,30.0,114.0,0.0,2.0
81.0,,,1,2.0,4.0,6,1,4.0,1.0,0.0,3.4,20.0,1.0,1.0,2.0
60.0,1,1,1,1.0,1.0,4,0,2.0,0.0,0.0,3.4,,81.0,1.0,2.0
60.0,3,1,1,1.0,4.0,6,3,2.0,0.0,0.0,3.4,,81.0,1.0,2.0
81.0,1,1,1,1.0,4.0,4,3,4.0,1.0,0.0,3.4,33.0,81.0,0.0,2.0
60.0,,1,1,1.0,6.0,2,2,1.0,0.0,0.0,3.4,26.0,1.0,1.0,3.0
60.0,,,,1.0,0.0,0,2,0.0,,,3.4,23.0,81.0,1.0,2.0
80.0,5,2,1,3.0,5.0,5,3,4.0,0.0,0.0,3.4,28.0,80.0,0.0,3.0
60.0,,,,1.0,1.0,4,3,,,,3.4,23.0,81.0,1.0,2.0
60.0,,,0,1.0,4.0,6,1,4.0,1.0,,3.4,27.0,1.0,1.0,2.0
81.0,1,1,1,,5.0,8,3,1.0,0.0,0.0,3.4,29.0,81.0,0.0,3.0
114.0,,,1,1.0,4.0,6,0,4.0,1.0,0.0,3.4,39.0,114.0,0.0,2.0
60.0,,,,1.0,2.0,4,1,0.0,0.0,,3.4,18.0,60.0,0.0,2.0
60.0,1,1,1,1.0,1.0,4,1,4.0,0.0,0.0,3.4,20.0,1.0,1.0,2.0
81.0,,,1,1.0,4.0,6,,4.0,1.0,0.0,3.4,,,,2.0
81.0,,,1,1.0,4.0,6,,4.0,1.0,0.0,3.4,,,,2.0
114.0,0,0,1,3.0,2.0,2,0,0.0,0.0,0.0,3.4,17.0,81.0,1.0,2.0
114.0,0,0,1,3.0,2.0,6,0,2.0,0.0,0.0,3.4,17.0,81.0,1.0,2.0
60.0,,,1,1.0,2.0,4,0,2.0,0.0,0.0,3.4,23.0,60.0,0.0,2.0
81.0,,1,1,1.0,4.0,4,3,1.0,0.0,0.0,3.4,,,,2.0
114.0,1,1,1,1.0,,,,4.0,1.0,0.0,3.4,29.0,81.0,1.0,2.0
60.0,,,1,1.0,2.0,2,3,1.0,0.0,0.0,3.4,31.0,1.0,1.0,2.0
114.0,1,1,1,3.0,,,,,,0.0,3.4,,81.0,1.0,2.0
